codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL,Language,Source Type,1st Theme,2nd Theme,Perspective,Who,Who Background,Whom,Whom Background,Verification,Verification.1,Comments,Coder,weekIndex,Comment,1st Theme String,Source Type String,Prevention String
2019-12-29-2020-01-05,UC4SUWizzKc1tptprBkWjX2Q,2LtA0-qoHOg,"Mystery illness outbreak in Wuhan, China",2020-01-04T12:39:45Z,1274049,8857.0,603.0,5317.0,123,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=2LtA0-qoHOg,1.0,1.0,2.0,0.0,1.0,9.0,7.0,3.0,7.0,1.1,2.2,,1.0,0,,Statistics and Modeling,Straight news,Not prevention
2019-12-29-2020-01-05,UC83jt4dlz1Gjl58fzQrrKZg,oVMxoBNYASw,Chinese authorities working to identify virus behind pneumonia outbreak in Wuhan,2020-01-03T15:30:23Z,107050,421.0,54.0,299.0,53,CNA,1010000,SG,https://www.youtube.com/watch?v=oVMxoBNYASw,1.0,1.0,2.0,1.0,1.0,9.0,7.0,3.0,7.0,1.1,2.2,,1.0,0,,Statistics and Modeling,Straight news,Not prevention
2020-01-05-2020-01-12,UC4SUWizzKc1tptprBkWjX2Q,5KJUcKV9q50,China identifies new coronavirus behind Wuhan pneumonia outbreak,2020-01-09T08:20:52Z,653336,2444.0,286.0,915.0,67,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=5KJUcKV9q50,1.0,1.0,1.0,2.0,1.0,9.0,7.0,9.0,7.0,1.1,,"interesting how much our knowledge of the virus has changed, this video mentions no knowledge of human-to-human transmission",0.0,1,,Virus information,Straight news,Not prevention
2020-01-05-2020-01-12,UCGCZAYq5Xxojl_tSXcVJhiQ,FEjUarcl67U,Zhong Guo deYuan Yin Bu Ming nouirusuXing Fei Yan gaDang Ju haSARSFou Ding (20/01/06),2020-01-06T10:17:57Z,98702,760.0,49.0,472.0,40,ANNnewsCH,1400000,JP,https://www.youtube.com/watch?v=FEjUarcl67U,3.0,,,,,,,,,,,,0.0,1,,Not coded,Not coded,Not coded
2020-01-05-2020-01-12,UCzznO4xSV8BKnUBPyswtCUw,9Z1KWYfPQ_k,New type of coronavirus found for pneumonia outbreak in China: WHO,2020-01-10T00:23:49Z,73655,390.0,18.0,179.0,98,ARIRANG NEWS,393000,South Korea,https://www.youtube.com/watch?v=9Z1KWYfPQ_k,1.0,1.0,1.0,2.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,1,,Virus information,Straight news,Not prevention
2020-01-05-2020-01-12,UC83jt4dlz1Gjl58fzQrrKZg,VbrXBTJUESw,China says pneumonia outbreak due to new type of coronavirus,2020-01-09T12:36:27Z,64753,308.0,21.0,241.0,150,CNA,1010000,SG,https://www.youtube.com/watch?v=VbrXBTJUESw,1.0,1.0,1.0,2.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,1,,Virus information,Straight news,Not prevention
2020-01-05-2020-01-12,UCvJS-YNyaWyOucx8bGrHVvw,8P1BugCl-HA,"Virus similar al SARS, responsable del misterioso brote de neumonia en China",2020-01-09T15:32:45Z,62708,463.0,16.0,219.0,79,AGENCIA EFE,523000,ES,https://www.youtube.com/watch?v=8P1BugCl-HA,2.0,,,,,,,,,,,,1.0,1,,Not coded,Not coded,Not coded
2020-01-05-2020-01-12,UCrtd2wePvAl6RN_D-9jWVQQ,rNGnuYLteN4,Clinical Manifestations of SARS - Coronavirus (SARS-COV),2020-01-10T15:03:58Z,35755,343.0,22.0,29.0,310,Drbeen Medical Lectures,200000,US,https://www.youtube.com/watch?v=rNGnuYLteN4,1.0,7.0,1.0,1.0,1.0,9.0,7.0,9.0,7.0,1.1,,It's aobut SARS,1.0,1,,Virus information,Educational/YouTubers-professionals,Not prevention
2020-01-05-2020-01-12,UC83jt4dlz1Gjl58fzQrrKZg,jggndUgvhrk,Pneumonia cases in China&#39;s Wuhan could be due to new type of virus: WHO,2020-01-09T07:34:48Z,34010,229.0,12.0,205.0,336,CNA,1010000,SG,https://www.youtube.com/watch?v=jggndUgvhrk,1.0,1.0,1.0,2.0,1.0,3.0,7.0,7.0,7.0,1.1,,,1.0,1,,Virus information,Straight news,Not prevention
2020-01-12-2020-01-19,UCckz6n8QccTd6K_xdwKqa0A,p6wb37RbYk0,Qu&#39;est-ce qu&#39;un coronavirus ? | AFP Anime,2020-01-16T11:22:49Z,1253308,6336.0,642.0,1029.0,93,AFP,686000,Unknown,https://www.youtube.com/watch?v=p6wb37RbYk0,4.0,,,,,,,,,,,,1.0,2,,Not coded,Not coded,Not coded
