,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL,Language,Source Type,1st Theme,2nd Theme,Perspective,Who,Who Background,Whom,Whom Background,Verification,Verification.1,Comments,Coder,weekIndex,Comment,1st Theme String,Source Type String,Prevention String
16,2020-04-19-2020-04-26,UCG-iSMVtWbbwDDXgXXypARQ,NM2A2xNLWR4,"Coronavirus Pandemic Update 59: Dr. Seheult&#39;s Daily Regimen (Vitamin D, C, Zinc, Quercetin, NAC)",2020-04-21T18:47:54Z,486872,13103.0,251.0,2608.0,1113,MedCram - Medical Lectures Explained CLEARLY,808000,US,https://www.youtube.com/watch?v=NM2A2xNLWR4,1.0,5.0,9.0,3.0,1.0,1.0,3.0,9.0,7.0,1.1,,talks about what he does personally to stay as safe as possible (vitamins etc.),0.0,16,,Human Interest,Educational/YouTubers-professionals,Not prevention
18,2020-04-19-2020-04-26,UC6QYFutt9cluQ3uSM963_KQ,YRfwZcLeOm4,"COVID-19 | Coronavirus: Epidemiology, Pathophysiology | APRIL UPDATE",2020-04-20T17:00:11Z,303849,8644.0,141.0,867.0,2848,Ninja Nerd Lectures,640000,US,https://www.youtube.com/watch?v=YRfwZcLeOm4,1.0,5.0,1.0,2.0,1.0,1.0,5.0,9.0,7.0,1.1,,,0.0,16,,Virus information,Educational/YouTubers-professionals,Not prevention
19,2020-04-19-2020-04-26,UCgrNz-aDmcr2uuto8_DL2jg,L8XagNkAxc4,&#39;Body bags&#39; sent to Trump&#39;s building to protest COVID-19 response,2020-04-19T08:18:24Z,288363,3472.0,500.0,1702.0,85,CGTN,1820000,CN,https://www.youtube.com/watch?v=L8XagNkAxc4,1.0,1.0,7.1,6.0,3.0,1.0,3.0,1.0,5.0,1.1,,,0.0,16,,Politics and Blame,Straight news,Not prevention
0,2020-04-26-2020-05-03,UCVSNOxehfALut52NbkfRBaA,EQRZoxnnfbA,Coronavirus: El Salvador Declares State of Emergency in Prisons,2020-04-26T16:53:22Z,7275273,15974.0,4262.0,1308.0,48,VOA News,1320000,US,https://www.youtube.com/watch?v=EQRZoxnnfbA,1.0,1.0,11.0,0.0,1.0,9.0,2.0,9.0,5.0,1.3,,,1.0,17,,Other,Straight news,Not prevention
1,2020-04-26-2020-05-03,UCMtFAi84ehTSYSE9XoHefig,RDjHwhooegY,Jared Kushner Declares Trump&#39;s Coronavirus Decision-Making &quot;A Great Success Story&quot;,2020-04-30T03:50:02Z,2606038,39175.0,1484.0,6257.0,719,The Late Show with Stephen Colbert,7770000,US,https://www.youtube.com/watch?v=RDjHwhooegY,1.0,2.0,7.1,2.0,3.0,1.0,6.0,1.0,1.0,1.1,,,1.0,17,,Politics and Blame,Entertainment news,Not prevention
2,2020-04-26-2020-05-03,UCLXo7UDZvByw2ixzpQCufnA,O-3Mlj3MQ_Q,How coronavirus charts can mislead us,2020-04-28T14:15:00Z,2390360,57153.0,2497.0,4935.0,298,Vox,8590000,US,https://www.youtube.com/watch?v=O-3Mlj3MQ_Q,1.0,1.0,2.0,0.0,3.0,9.0,7.0,9.0,7.0,1.1,,,1.0,17,,Statistics and Modeling,Straight news,Not prevention
3,2020-04-26-2020-05-03,UCVTyTA7-g9nopHeHbeuvpRA,SQLPqCcs5I4,"Kushner and Trump Call Coronavirus Response ""Success Story"" and ""Great Job"": A Closer Look",2020-05-01T03:30:02Z,2293108,38669.0,1125.0,6170.0,920,Late Night with Seth Meyers,3840000,US,https://www.youtube.com/watch?v=SQLPqCcs5I4,1.0,2.0,7.1,4.5,3.0,1.0,6.0,1.0,1.0,1.1,,,1.0,17,,Politics and Blame,Entertainment news,Not prevention
5,2020-04-26-2020-05-03,UCHbq_l1qnuomfJCYQTsWf_Q,gSKY4Oz9IXQ,THE REAL TRUTH ABOUT CORONAVIRUS by Dr. Steven Gundry,2020-04-27T11:00:19Z,2067129,24931.0,8874.0,11759.0,606,Motivation Madness,1840000,CA,https://www.youtube.com/watch?v=gSKY4Oz9IXQ,1.0,8.0,1.0,0.0,3.0,1.0,3.0,9.0,7.0,1.1,,,1.0,17,,Virus information,YouTubers-laypersons/channels,Not prevention
6,2020-04-26-2020-05-03,UCVTyTA7-g9nopHeHbeuvpRA,5ePLlJmZ_bk,Trump Ignored Coronavirus Warnings; Pence Refused to Wear a Mask: A Closer Look,2020-04-30T03:30:00Z,1894007,33899.0,1097.0,5715.0,872,Late Night with Seth Meyers,3840000,US,https://www.youtube.com/watch?v=5ePLlJmZ_bk,1.0,2.0,7.1,0.0,3.0,1.0,6.0,1.0,1.0,1.1,,,1.0,17,,Politics and Blame,Entertainment news,Not prevention
7,2020-04-26-2020-05-03,UCsP7Bpw36J666Fct5M8u-ZA,XMHySlDqpUw,Debunking Viral Covid-19 Videos | How To Cook That Ann Reardon,2020-05-01T09:30:09Z,1802156,102080.0,995.0,9890.0,1272,How To Cook That,4380000,AU,https://www.youtube.com/watch?v=XMHySlDqpUw,1.0,8.0,4.4,0.0,3.0,8.0,5.0,9.0,7.0,1.1,,,1.0,17,,Prevention and Action,YouTubers-laypersons/channels,Social distancing
8,2020-04-26-2020-05-03,UCoMdktPbSTixAyNGwb-UYkQ,losKkOfQaB0,Brazilians dig mass graves as Bolsonaro dismisses COVID-19 pandemic as &#39;a little flu&#39;,2020-04-30T21:54:27Z,1775350,7543.0,1212.0,1648.0,198,Sky News,2580000,GB,https://www.youtube.com/watch?v=losKkOfQaB0,1.0,1.0,5.0,9.0,3.0,9.0,7.0,9.0,7.0,1.1,,,1.0,17,,Non-Physical Health,Straight news,Not prevention
9,2020-04-26-2020-05-03,UCeY0bbntWzzVIaj2z3QigXg,PvXv57eKPB0,New York Doctor On Front Lines Of Coronavirus Pandemic Dies By Suicide | NBC Nightly News,2020-04-27T23:39:57Z,1687941,11867.0,2560.0,7602.0,159,NBC News,3760000,US,https://www.youtube.com/watch?v=PvXv57eKPB0,1.0,1.0,9.0,0.0,3.0,1.0,3.0,1.0,3.0,1.1,,,1.0,17,,Human Interest,Straight news,Not prevention
11,2020-04-26-2020-05-03,UCupvZG-5ko_eiXAupbDfxWw,ORGYmZNzVEw,Jim Acosta presses Trump on his Covid-19 prediction,2020-04-28T23:04:45Z,1562610,12214.0,2405.0,12526.0,591,CNN,10500000,US,https://www.youtube.com/watch?v=ORGYmZNzVEw,1.0,1.0,7.1,2.0,3.0,9.0,7.0,1.0,1.0,1.1,,I coded only the first section of the video because it is different than the second half,0.0,17,,Politics and Blame,Straight news,Not prevention
12,2020-04-26-2020-05-03,UCDnq05Q89oYq-Tz5boL73Tw,Eh8BOSu5JVw,21 Year Old Mumbai Boy&#39;s Story Of COVID-19 Recovery | Curly Tales,2020-05-01T11:30:00Z,1557297,36901.0,1480.0,1639.0,338,Curly Tales,698000,IN,https://www.youtube.com/watch?v=Eh8BOSu5JVw,1.0,8.0,9.0,3.0,2.0,6.0,5.0,9.0,7.0,1.3,,,0.0,17,,Human Interest,YouTubers-laypersons/channels,Not prevention
13,2020-04-26-2020-05-03,UCGqQrz8HUV98ii7A_Pz1X_Q,ThG_02miq-4,Coronavirus Test: Real time RT-PCR - Animation video,2020-04-26T04:21:03Z,1492694,26785.0,793.0,983.0,500,Biology with Animations,34300,US,https://www.youtube.com/watch?v=ThG_02miq-4,1.0,5.0,4.4,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,17,,Prevention and Action,Educational/YouTubers-professionals,Social distancing
14,2020-04-26-2020-05-03,UCupvZG-5ko_eiXAupbDfxWw,R2ZETF515Ec,Bill Gates: Here&#39;s when we could expect a coronavirus vaccine,2020-04-27T16:43:13Z,1478467,9134.0,20067.0,22877.0,345,CNN,10500000,US,https://www.youtube.com/watch?v=R2ZETF515Ec,1.0,1.0,4.4,4.3,1.0,1.0,3.0,9.0,7.0,1.1,,,0.0,17,,Prevention and Action,Straight news,Social distancing
