,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL,Language,Source Type,1st Theme,2nd Theme,Perspective,Who,Who Background,Whom,Whom Background,Verification,Verification.1,Comments,Coder,weekIndex,Comment,1st Theme String,Source Type String,Prevention String
0,2019-12-29-2020-01-05,UC4SUWizzKc1tptprBkWjX2Q,2LtA0-qoHOg,"Mystery illness outbreak in Wuhan, China",2020-01-04T12:39:45Z,1274049,8857.0,603.0,5317.0,123,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=2LtA0-qoHOg,1.0,1.0,2.0,0.0,1.0,9.0,7.0,3.0,7.0,1.1,2.2,,1.0,0,,Statistics and Modeling,Straight news,Not prevention
1,2019-12-29-2020-01-05,UC83jt4dlz1Gjl58fzQrrKZg,oVMxoBNYASw,Chinese authorities working to identify virus behind pneumonia outbreak in Wuhan,2020-01-03T15:30:23Z,107050,421.0,54.0,299.0,53,CNA,1010000,SG,https://www.youtube.com/watch?v=oVMxoBNYASw,1.0,1.0,2.0,1.0,1.0,9.0,7.0,3.0,7.0,1.1,2.2,,1.0,0,,Statistics and Modeling,Straight news,Not prevention
0,2020-01-05-2020-01-12,UC4SUWizzKc1tptprBkWjX2Q,5KJUcKV9q50,China identifies new coronavirus behind Wuhan pneumonia outbreak,2020-01-09T08:20:52Z,653336,2444.0,286.0,915.0,67,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=5KJUcKV9q50,1.0,1.0,1.0,2.0,1.0,9.0,7.0,9.0,7.0,1.1,,"interesting how much our knowledge of the virus has changed, this video mentions no knowledge of human-to-human transmission",0.0,1,,Virus information,Straight news,Not prevention
2,2020-01-05-2020-01-12,UCzznO4xSV8BKnUBPyswtCUw,9Z1KWYfPQ_k,New type of coronavirus found for pneumonia outbreak in China: WHO,2020-01-10T00:23:49Z,73655,390.0,18.0,179.0,98,ARIRANG NEWS,393000,South Korea,https://www.youtube.com/watch?v=9Z1KWYfPQ_k,1.0,1.0,1.0,2.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,1,,Virus information,Straight news,Not prevention
3,2020-01-05-2020-01-12,UC83jt4dlz1Gjl58fzQrrKZg,VbrXBTJUESw,China says pneumonia outbreak due to new type of coronavirus,2020-01-09T12:36:27Z,64753,308.0,21.0,241.0,150,CNA,1010000,SG,https://www.youtube.com/watch?v=VbrXBTJUESw,1.0,1.0,1.0,2.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,1,,Virus information,Straight news,Not prevention
5,2020-01-05-2020-01-12,UCrtd2wePvAl6RN_D-9jWVQQ,rNGnuYLteN4,Clinical Manifestations of SARS - Coronavirus (SARS-COV),2020-01-10T15:03:58Z,35755,343.0,22.0,29.0,310,Drbeen Medical Lectures,200000,US,https://www.youtube.com/watch?v=rNGnuYLteN4,1.0,7.0,1.0,1.0,1.0,9.0,7.0,9.0,7.0,1.1,,It's aobut SARS,1.0,1,,Virus information,Educational/YouTubers-professionals,Not prevention
6,2020-01-05-2020-01-12,UC83jt4dlz1Gjl58fzQrrKZg,jggndUgvhrk,Pneumonia cases in China&#39;s Wuhan could be due to new type of virus: WHO,2020-01-09T07:34:48Z,34010,229.0,12.0,205.0,336,CNA,1010000,SG,https://www.youtube.com/watch?v=jggndUgvhrk,1.0,1.0,1.0,2.0,1.0,3.0,7.0,7.0,7.0,1.1,,,1.0,1,,Virus information,Straight news,Not prevention
1,2020-01-12-2020-01-19,UC07-dOwgza1IguKA86jqxNA,OZcRD9fV7jo,WHO: Coronavirus - questions and answers (Q&amp;A),2020-01-16T14:54:37Z,1247805,1546.0,261.0,349.0,82,World Health Organization (WHO),611000,WHO,https://www.youtube.com/watch?v=OZcRD9fV7jo,1.0,4.0,1.0,0.0,1.0,7.0,2.0,9.0,7.0,1.1,,,1.0,2,,Virus information,WHO,Not prevention
5,2020-01-12-2020-01-19,UCPgLNge0xqQHWM5B5EFH9Cg,XDVP4vbeikk,Could this coronavirus be Disease X? Everything you need to know about the mystery virus in China,2020-01-18T09:09:02Z,581763,4695.0,585.0,,140,The Telegraph,1360000,GB,https://www.youtube.com/watch?v=XDVP4vbeikk,1.0,1.0,1.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,1.0,2,,Virus information,Straight news,Not prevention
6,2020-01-12-2020-01-19,UC4SUWizzKc1tptprBkWjX2Q,Epo99jpxcQo,Wuhan outbreak: Thailand confirms first case of virus outside China,2020-01-15T07:56:14Z,362333,2352.0,108.0,899.0,110,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=Epo99jpxcQo,1.0,1.0,2.0,0.0,1.0,9.0,7.0,9.0,5.0,1.1,,significant change in global perspective about the virus - beginning to seem like a bigger threat to public health,1.0,2,,Statistics and Modeling,Straight news,Not prevention
8,2020-01-12-2020-01-19,UC4SUWizzKc1tptprBkWjX2Q,z_InqqUdhgM,Wuhan virus: second death reported in China as Japan finds first case,2020-01-17T08:07:36Z,318105,1789.0,116.0,871.0,114,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=z_InqqUdhgM,1.0,1.0,2.0,1.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,2,,Statistics and Modeling,Straight news,Not prevention
9,2020-01-12-2020-01-19,UCnsvJeZO4RigQ898WdDNoBw,FQasKuFZV1c,Se detecta el PRIMER CASO de CORONAVIRUS en JAPON,2020-01-16T20:48:08Z,213770,827.0,75.0,267.0,90,El País,1160000,ES,https://www.youtube.com/watch?v=FQasKuFZV1c,1.0,1.0,1.0,0.0,1.0,8.0,2.0,9.0,7.0,1.1,,"Two part video, I coded the first part which was in english, second part was not-english",0.0,2,,Virus information,Straight news,Not prevention
13,2020-01-12-2020-01-19,UC83jt4dlz1Gjl58fzQrrKZg,7mNr1K9O1CQ,Thailand reports first case of Wuhan coronavirus outside China,2020-01-13T13:43:27Z,23848,91.0,5.0,39.0,40,CNA,1010000,SG,https://www.youtube.com/watch?v=7mNr1K9O1CQ,1.0,1.0,2.0,0.0,1.0,9.0,7.0,9.0,5.0,1.1,,,0.0,2,,Statistics and Modeling,Straight news,Not prevention
2,2020-01-19-2020-01-26,UCIRYBXDze5krPDzAEOxFGVA,aerq4byr7ps,What is the coronavirus?,2020-01-23T15:49:21Z,9698852,175809.0,4628.0,19167.0,221,Guardian News,1290000,GB,https://www.youtube.com/watch?v=aerq4byr7ps,1.0,1.0,1.0,2.0,2.0,4.0,6.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
8,2020-01-19-2020-01-26,UCupvZG-5ko_eiXAupbDfxWw,GEARtTBHXEw,See where officials believe the coronavirus started,2020-01-21T02:47:47Z,4608867,44425.0,3133.0,26992.0,451,CNN,10500000,US,https://www.youtube.com/watch?v=GEARtTBHXEw,1.0,1.0,2.0,1.0,1.0,3.0,3.0,9.0,7.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
10,2020-01-19-2020-01-26,UChLtXXpo4Ge1ReTEboVvTDg,HedWVC_EwrI,Coronavirus Outbreak: Toll gates become checkpoints as China fights to control spread of coronavirus,2020-01-24T18:03:10Z,3234659,13837.0,1355.0,391.0,181,Global News,1970000,CA,https://www.youtube.com/watch?v=HedWVC_EwrI,1.0,1.0,4.1,0.0,1.0,9.0,7.0,3.0,2.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
12,2020-01-19-2020-01-26,UCuFFtHWoLl5fauMMD5Ww2jA,cmgPVhubmQA,"China building 1,000-bed hospital in 5 days to treat coronavirus",2020-01-24T13:31:14Z,2918911,15037.0,1263.0,4732.0,383,CBC News,2250000,CA,https://www.youtube.com/watch?v=cmgPVhubmQA,1.0,1.0,4.1,4.4,3.0,2.0,6.0,3.0,2.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
14,2020-01-19-2020-01-26,UC4SUWizzKc1tptprBkWjX2Q,CfcIHUdOI8w,China coronavirus: a look inside the sealed off city of Wuhan,2020-01-24T07:16:13Z,2789589,13030.0,646.0,4486.0,141,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=CfcIHUdOI8w,1.0,1.0,4.1,5.0,3.0,9.0,7.0,3.0,5.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
15,2020-01-19-2020-01-26,UCTrQ7HXWRRxr7OsOtodr2_w,lg925coC5sc,Coronavirus spread is 'accelerating' says China as death toll rises to 41,2020-01-25T18:49:24Z,2749829,35998.0,2297.0,17471.0,445,Channel 4 News,1420000,GB,https://www.youtube.com/watch?v=lg925coC5sc,1.0,1.0,2.0,4.1,3.0,9.0,7.0,8.0,5.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
17,2020-01-19-2020-01-26,UCl-J-ovSJhA3or73Q2uVpow,UubQNkK0wy0,Novel Coronavirus (2019 nCoV  Outbreak ) [Update # 1] COVID-19,2020-01-24T09:27:53Z,2381826,25883.0,1562.0,4504.0,818,Medicosis Perfectionalis,268000,US,https://www.youtube.com/watch?v=UubQNkK0wy0,1.0,8.0,1.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,,3,,Virus information,YouTubers-laypersons/channels,Not prevention
20,2020-01-19-2020-01-26,UC4SUWizzKc1tptprBkWjX2Q,f7llqJcvkxM,Chinese hospital staff in Wuhan face fears amid frontline battle against coronavirus outbreak,2020-01-23T11:08:35Z,2029780,11598.0,622.0,2120.0,131,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=f7llqJcvkxM,1.0,1.0,5.0,0.0,3.0,3.0,3.0,9.0,7.0,1.1,,,,3,,Non-Physical Health,Straight news,Not prevention
23,2020-01-19-2020-01-26,UCknLrEdhRCp1aegoMqRaCZg,qFkyqt0rKms,Coronavirus spreads to Europe and Australia | DW News,2020-01-25T10:11:02Z,1667077,19589.0,663.0,8093.0,388,DW News,1670000,DE,https://www.youtube.com/watch?v=qFkyqt0rKms,1.0,1.0,2.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
24,2020-01-19-2020-01-26,UChirEOpgFCupRAk5etXqPaA,qO8QWq1K1_c,What Is Coronavirus?,2020-01-22T01:51:06Z,1666181,22420.0,1007.0,4418.0,137,Bloomberg QuickTake News,494000,US,https://www.youtube.com/watch?v=qO8QWq1K1_c,1.0,7.0,1.0,0.0,2.0,1.0,3.0,9.0,7.0,1.1,,,,3,,Virus information,Educational/YouTubers-professionals,Not prevention
25,2020-01-19-2020-01-26,UCoMdktPbSTixAyNGwb-UYkQ,GdVRYfBzHYg,UK on alert for deadly coronavirus as four people are tested,2020-01-23T17:27:12Z,1652911,18954.0,543.0,3414.0,136,Sky News,2590000,GB,https://www.youtube.com/watch?v=GdVRYfBzHYg,1.0,1.0,9.0,0.0,1.0,9.0,5.0,9.0,7.0,1.1,,,,3,,Human Interest,Straight news,Not prevention
26,2020-01-19-2020-01-26,UCKjU3KzdbJE1EFcHVqXC3_g,QnSbyoXnyRo,Coronavirus questions answered,2020-01-25T03:22:58Z,1609296,13287.0,1148.0,,360,CBC News: The National,822000,CA,https://www.youtube.com/watch?v=QnSbyoXnyRo,1.0,1.0,1.0,0.0,2.0,2.0,3.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
27,2020-01-19-2020-01-26,UCupvZG-5ko_eiXAupbDfxWw,zsGk4xw2XUk,The deadly new coronavirus has reached the US,2020-01-23T00:56:30Z,1576798,14899.0,1191.0,9551.0,551,CNN,10500000,US,https://www.youtube.com/watch?v=zsGk4xw2XUk,1.0,1.0,1.0,5.0,1.0,3.0,5.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
28,2020-01-19-2020-01-26,UC04KsGq3npibMCE9Td3mVDg,5M7saVTtBQI,Will A Mask Really Protect You From Coronavirus? - Cheddar Explains,2020-01-24T21:01:55Z,1525354,27736.0,1256.0,5827.0,237,Cheddar,657000,US,https://www.youtube.com/watch?v=5M7saVTtBQI,1.0,7.0,4.2,0.0,1.0,9.0,3.0,9.0,7.0,1.1,,,,3,,Prevention and Action,Educational/YouTubers-professionals,Mask
29,2020-01-19-2020-01-26,UC9k-yiEpRHMNVOnOi_aQK8w,ozYdKCuLLnk,What You Need to Know About Coronavirus That&#39;s Spread From China,2020-01-22T20:12:34Z,1500256,30746.0,551.0,5720.0,100,Inside Edition,7810000,US,https://www.youtube.com/watch?v=ozYdKCuLLnk,1.0,1.0,1.0,2.0,1.0,1.0,3.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
32,2020-01-19-2020-01-26,UChvithwOECK5g_19TjldMKw,VLp8CHeKQkI,China&#39;s Coronavirus is Much Worse Than You Think,2020-01-22T17:44:13Z,1322437,52332.0,3679.0,10450.0,719,laowhy86,531000,US,https://www.youtube.com/watch?v=VLp8CHeKQkI,1.0,8.0,7.1,0.0,3.0,9.0,5.0,3.0,2.0,1.1,,,,3,,Politics and Blame,YouTubers-laypersons/channels,Not prevention
34,2020-01-19-2020-01-26,UCoMdktPbSTixAyNGwb-UYkQ,6cuE3RAJJQs,Coronavirus: President Xi warns of &#39;grave situation&#39; as infection spreads,2020-01-25T17:51:51Z,1274987,10863.0,745.0,5954.0,99,Sky News,2590000,GB,https://www.youtube.com/watch?v=6cuE3RAJJQs,1.0,1.0,4.5,4.1,3.0,9.0,7.0,3.0,1.0,1.1,,,,3,,Prevention and Action,Straight news,Other prevention
35,2020-01-19-2020-01-26,UCgrNz-aDmcr2uuto8_DL2jg,mPu1N-fymB8,Coronavirus patient in Wuhan expected to leave hospital after ECMO support,2020-01-24T00:26:24Z,1266892,3255.0,321.0,465.0,98,CGTN,1820000,CN,https://www.youtube.com/watch?v=mPu1N-fymB8,1.0,1.0,9.0,1.0,1.0,3.0,5.0,9.0,7.0,1.1,,,,3,,Human Interest,Straight news,Not prevention
38,2020-01-19-2020-01-26,UC6o-wWU-v2ClFMwougmK7dA,o9lVJ6IlE4k,Coronavirus: How could it be stopped? - BBC Newsnight,2020-01-24T23:45:10Z,1213809,11274.0,1056.0,8122.0,714,BBC Newsnight,606000,GB,https://www.youtube.com/watch?v=o9lVJ6IlE4k,1.0,1.0,2.0,4.3,1.0,8.0,3.0,9.0,7.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
39,2020-01-19-2020-01-26,UC262-NFJtcZMJh1CHn2H3wA,Je0_U2ym_r0,"""Wuhan SARS"": Tracing the origin of the new virus to China's wild animal markets",2020-01-20T01:16:30Z,1193376,,,,266,Kristie Lu Stout,0,US,https://www.youtube.com/watch?v=Je0_U2ym_r0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
40,2020-01-19-2020-01-26,UCknLrEdhRCp1aegoMqRaCZg,ltcV3Q-1ztw,China puts millions under lockdown to contain coronavirus | DW News,2020-01-24T11:08:23Z,1146679,8315.0,367.0,3697.0,398,DW News,1670000,DE,https://www.youtube.com/watch?v=ltcV3Q-1ztw,1.0,1.0,4.1,1.0,1.0,8.0,3.0,9.0,7.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
2,2020-01-26-2020-02-02,UCC552Sd-3nyi_tk2BudLUzA,OTYfke545vI,What Actually Happens If You Get Coronavirus?,2020-01-30T06:24:32Z,12396283,437189.0,12926.0,34892.0,507,AsapSCIENCE,9400000,Unknown,https://www.youtube.com/watch?v=OTYfke545vI,1.0,5.0,1.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,1.0,4,,Virus information,Educational/YouTubers-professionals,Not prevention
3,2020-01-26-2020-02-02,UCTrQ7HXWRRxr7OsOtodr2_w,luztqxUBvZo,Inside Wuhan: Daily life in China&#39;s coronavirus quarantine zone,2020-01-26T17:23:42Z,9828431,116135.0,4489.0,27655.0,471,Channel 4 News,1420000,GB,https://www.youtube.com/watch?v=luztqxUBvZo,1.0,1.0,4.1,9.0,3.0,1.0,6.0,3.0,5.0,1.1,,,1.0,4,,Prevention and Action,Straight news,Lockdown
4,2020-01-26-2020-02-02,UChLtXXpo4Ge1ReTEboVvTDg,NytLE5ECa8M,Coronavirus outbreak: Mother of sick daughter from virus-hit region pleads for help,2020-02-01T15:28:20Z,8310513,41816.0,3567.0,7409.0,224,Global News,1970000,CA,https://www.youtube.com/watch?v=NytLE5ECa8M,1.0,1.0,9.0,5.0,3.0,9.0,7.0,3.0,5.0,1.1,,,1.0,4,,Human Interest,Straight news,Not prevention
5,2020-01-26-2020-02-02,UC0QHWhjbe5fGJEPz3sVb6nw,LI90iqFqLXs,The Truth About The Coronavirus (Jan 2020),2020-01-29T22:30:00Z,5679785,303432.0,4242.0,33375.0,634,Doctor Mike,6100000,US,https://www.youtube.com/watch?v=LI90iqFqLXs,1.0,7.0,1.0,3.0,2.0,1.0,3.0,9.0,7.0,1.1,,,1.0,4,,Virus information,Educational/YouTubers-professionals,Not prevention
6,2020-01-26-2020-02-02,UCG-iSMVtWbbwDDXgXXypARQ,okg7uq_HrhQ,How Coronavirus Kills: Acute Respiratory Distress Syndrome (ARDS) &amp; COVID-19 Treatment,2020-01-29T01:17:08Z,3858256,53787.0,1729.0,5659.0,665,MedCram - Medical Lectures Explained CLEARLY,808000,US,https://www.youtube.com/watch?v=okg7uq_HrhQ,1.0,7.0,1.0,0.0,1.0,1.0,3.0,9.0,7.0,1.1,,,1.0,4,,Virus information,Educational/YouTubers-professionals,Not prevention
7,2020-01-26-2020-02-02,UCPgLNge0xqQHWM5B5EFH9Cg,P6t3SxhvRuE,Coronavirus: China combats ever-strengthening disease,2020-01-26T16:07:36Z,3670225,11995.0,1224.0,,104,The Telegraph,1360000,GB,https://www.youtube.com/watch?v=P6t3SxhvRuE,1.0,1.0,2.0,4.1,3.0,9.0,7.0,3.0,2.0,1.1,,,1.0,4,,Statistics and Modeling,Straight news,Not prevention
8,2020-01-26-2020-02-02,UC16niRr50-MSBwiO3YDb3RA,0jAWPcyPFQc,China coronavirus &#39;spreads before symptoms show&#39; - BBC News,2020-01-26T10:40:33Z,2803673,22478.0,1173.0,12152.0,242,BBC News,8210000,GB,https://www.youtube.com/watch?v=0jAWPcyPFQc,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,5.0,1.1,,coded for first half,1.0,4,,Virus information,Straight news,Not prevention
9,2020-01-26-2020-02-02,UC4SUWizzKc1tptprBkWjX2Q,UoErujrHgAI,Coronavirus: how China builds two hospitals at top speed at the heart of the virus outbreak,2020-01-29T04:02:58Z,2573432,18288.0,861.0,4093.0,145,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=UoErujrHgAI,1.0,1.0,4.5,0.0,2.0,9.0,7.0,3.0,7.0,1.1,,,1.0,4,,Prevention and Action,Straight news,Other prevention
10,2020-01-26-2020-02-02,UCNye-wNBqNL5ZzHSJj3l8Bg,3i9TYs9XKMw,China cracks down on wildlife trade amid coronavirus outbreak,2020-01-26T13:38:45Z,2479118,6453.0,942.0,1660.0,111,Al Jazeera English,5690000,QA,https://www.youtube.com/watch?v=3i9TYs9XKMw,1.0,1.0,4.1,5.0,2.0,3.0,5.0,3.0,2.0,1.1,,,0.0,4,,Prevention and Action,Straight news,Lockdown
11,2020-01-26-2020-02-02,UCzznO4xSV8BKnUBPyswtCUw,0YOVPIQuvAw,"213 dead, 9,692 cases of coronavirus confirmed in China",2020-01-31T03:58:30Z,2103607,10101.0,736.0,3104.0,183,ARIRANG NEWS,393000,South Korea,https://www.youtube.com/watch?v=0YOVPIQuvAw,1.0,1.0,2.0,1.0,1.0,8.0,2.0,9.0,7.0,1.1,,,0.0,4,,Statistics and Modeling,Straight news,Not prevention
13,2020-01-26-2020-02-02,UCIRYBXDze5krPDzAEOxFGVA,JXkMdoRP1Bg,Wuhan hospitals under pressure as coronavirus is &#39;getting stronger&#39;,2020-01-26T17:17:12Z,1929830,8460.0,527.0,2116.0,105,Guardian News,1290000,GB,https://www.youtube.com/watch?v=JXkMdoRP1Bg,3.0,1.0,4.1,0.0,2.0,3.0,2.0,3.0,5.0,1.1,,"Chinese video posted by English news source, captions are in english, how do we code language? CS: Chinese 3",0.0,4,,Prevention and Action,Straight news,Lockdown
14,2020-01-26-2020-02-02,UC4SUWizzKc1tptprBkWjX2Q,VA9G1VCnOFY,"China coronavirus: drone footage reveals 'ghost town' Wuhan, the sealed-off outbreak epicentre",2020-01-29T03:57:52Z,1854923,8133.0,495.0,1955.0,99,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=VA9G1VCnOFY,1.0,1.0,4.1,2.0,1.0,3.0,5.0,9.0,7.0,1.1,,,0.0,4,,Prevention and Action,Straight news,Lockdown
15,2020-01-26-2020-02-02,UCG-iSMVtWbbwDDXgXXypARQ,UCG3xqtcL3c,"Coronavirus Symptoms, Diagnosis, Treatment, &amp; Vaccine Status (Recorded January 27, 2020)",2020-01-27T13:15:01Z,1801485,14286.0,810.0,1519.0,273,MedCram - Medical Lectures Explained CLEARLY,808000,US,https://www.youtube.com/watch?v=UCG3xqtcL3c,1.0,5.0,2.0,3.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,4,,Statistics and Modeling,Educational/YouTubers-professionals,Not prevention
16,2020-01-26-2020-02-02,UCTrQ7HXWRRxr7OsOtodr2_w,D4vFj5GsBnE,Inside Wuhan: Q&amp;A from China Coronavirus lockdown,2020-01-29T12:18:52Z,1491989,28043.0,1475.0,7128.0,872,Channel 4 News,1420000,GB,https://www.youtube.com/watch?v=D4vFj5GsBnE,1.0,1.0,9.0,4.1,2.0,4.0,5.0,9.0,7.0,1.1,,,0.0,4,,Human Interest,Straight news,Not prevention
17,2020-01-26-2020-02-02,UC4SUWizzKc1tptprBkWjX2Q,t_PSSTP8ROg,"Wuhan residents chant 'Keep it up, Wuhan' out of their windows to boost morale",2020-01-28T13:17:42Z,1314590,34212.0,862.0,5932.0,75,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=t_PSSTP8ROg,1.0,1.0,9.0,0.0,2.0,9.0,7.0,3.0,5.0,1.1,,,0.0,4,,Human Interest,Straight news,Not prevention
18,2020-01-26-2020-02-02,UC4SUWizzKc1tptprBkWjX2Q,A4qwCWwC-Oo,Coronavirus: Doctor explains the proper way to wash your hands and put on a face mask,2020-01-30T05:45:55Z,1112936,11381.0,427.0,1034.0,154,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=A4qwCWwC-Oo,1.0,1.0,4.2,0.0,1.0,3.0,3.0,9.0,7.0,1.3,,,0.0,4,,Prevention and Action,Straight news,Mask
19,2020-01-26-2020-02-02,UC4SUWizzKc1tptprBkWjX2Q,F5zX4EX1KCY,"We speak to a resident inside Wuhan, the epicentre of the coronavirus outbreak",2020-01-27T14:46:03Z,991000,4938.0,338.0,1639.0,170,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=F5zX4EX1KCY,1.0,1.0,4.1,5.0,1.0,3.0,5.0,3.0,2.0,1.1,,,0.0,4,,Prevention and Action,Straight news,Lockdown
20,2020-01-26-2020-02-02,UCF9IOB2TExg3QIBupFtBDxg,aPvpfC7NfR0,Coronavirus,2020-01-26T23:54:52Z,985284,16026.0,430.0,2822.0,1736,Dr. John Campbell,730000,GB,https://www.youtube.com/watch?v=aPvpfC7NfR0,1.0,7.0,1.0,0.0,1.0,4.0,3.0,9.0,7.0,1.1,,,1.0,4,,Virus information,Educational/YouTubers-professionals,Not prevention
21,2020-01-26-2020-02-02,UCG-iSMVtWbbwDDXgXXypARQ,9vMXSkKLg2I,"Coronavirus Outbreak - Transmission &amp; Updates Explained (Recorded January 26, 2020)",2020-01-27T02:55:26Z,983814,11548.0,485.0,2269.0,396,MedCram - Medical Lectures Explained CLEARLY,808000,US,https://www.youtube.com/watch?v=9vMXSkKLg2I,1.0,7.0,1.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,1.0,4,,Virus information,Educational/YouTubers-professionals,Not prevention
22,2020-01-26-2020-02-02,UC16niRr50-MSBwiO3YDb3RA,CAUUi8zEZBk,Coronavirus: Britons on Wuhan flights to be quarantined - BBC News,2020-01-29T22:29:51Z,930252,5288.0,353.0,2106.0,445,BBC News,8210000,GB,https://www.youtube.com/watch?v=CAUUi8zEZBk,1.0,1.0,4.1,7.1,3.0,4.0,5.0,4.0,2.0,1.1,,,1.0,4,,Prevention and Action,Straight news,Lockdown
1,2020-02-02-2020-02-09,UC4SUWizzKc1tptprBkWjX2Q,Zru5REL9ANg,Coronavirus: what we know so far about the outbreak spreading in China and abroad,2020-02-02T13:16:33Z,3631250,18610.0,1623.0,2077.0,327,South China Morning Post,1350000,HK,https://www.youtube.com/watch?v=Zru5REL9ANg,1.0,1.0,1.0,2.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,5,,Virus information,Straight news,Not prevention
2,2020-02-02-2020-02-09,UCupvZG-5ko_eiXAupbDfxWw,eEUqCxP5Lvc,Coronavirus whistleblower doctor is online hero in China,2020-02-04T15:26:54Z,3514804,34312.0,1624.0,8514.0,177,CNN,10500000,US,https://www.youtube.com/watch?v=eEUqCxP5Lvc,1.0,1.0,7.2,9.0,3.0,3.0,2.0,3.0,2.0,1.1,,,0.0,5,,Politics and Blame,Straight news,Not prevention
3,2020-02-02-2020-02-09,UCuFFtHWoLl5fauMMD5Ww2jA,kIL5m5XznNY,Get the facts on coronavirus,2020-02-02T00:11:45Z,3277907,39789.0,1650.0,4445.0,310,CBC News,2250000,CA,https://www.youtube.com/watch?v=kIL5m5XznNY,1.0,1.0,1.0,3.0,1.0,2.0,3.0,9.0,7.0,1.1,,,0.0,5,,Virus information,Straight news,Not prevention
4,2020-02-02-2020-02-09,UC0QHWhjbe5fGJEPz3sVb6nw,YscZRozTN9s,The UPDATED Truth About The Coronavirus (Feb 2020),2020-02-05T22:00:05Z,3074568,161838.0,3264.0,21050.0,741,Doctor Mike,6100000,US,https://www.youtube.com/watch?v=YscZRozTN9s,1.0,7.0,2.0,1.0,2.0,1.0,3.0,9.0,7.0,1.1,,,0.0,5,,Statistics and Modeling,Educational/YouTubers-professionals,Not prevention
5,2020-02-02-2020-02-09,UCPgLNge0xqQHWM5B5EFH9Cg,oaeC20A1k9s,Coronavirus: First patients transferred to new Wuhan hospital,2020-02-04T12:39:49Z,2661267,8353.0,1076.0,,89,The Telegraph,1350000,GB,https://www.youtube.com/watch?v=oaeC20A1k9s,1.0,1.0,4.5,0.0,3.0,9.0,7.0,9.0,7.0,1.1,,,0.0,5,,Prevention and Action,Straight news,Other prevention
6,2020-02-02-2020-02-09,UCeY0bbntWzzVIaj2z3QigXg,1U1VYck6KOo,"See Inside COVID-19 Hospital, Filmed By Wuhan Resident, Later Confronted By Police | NBC News",2020-02-04T22:16:06Z,2395254,7805.0,772.0,1222.0,115,NBC News,3760000,US,https://www.youtube.com/watch?v=1U1VYck6KOo,1.0,1.0,2.0,9.0,3.0,3.0,9.0,3.0,7.0,1.3,,"Video is in chinese, but for english audience, how do we code? Also is it human interest or medical resources or both? ",0.0,5,,Statistics and Modeling,Straight news,Not prevention
7,2020-02-02-2020-02-09,UC07-dOwgza1IguKA86jqxNA,Ded_AxFfJoQ,Can masks protect against the new coronavirus infection?,2020-02-05T20:13:57Z,2127499,4671.0,2123.0,1847.0,87,World Health Organization (WHO),610000,WHO,https://www.youtube.com/watch?v=Ded_AxFfJoQ,1.0,4.0,4.2,0.0,1.0,7.0,2.0,8.0,5.0,1.1,,,0.0,5,,Prevention and Action,WHO,Mask
